rcid,mean_beta,q025,q975
5435,-0.8658224723048273,-1.168984243318292,-0.5774864340548601
5456,0.07360806238377023,0.0014636382798597102,0.1605685631009568
5458,0.31262171485794693,0.20674101633720418,0.41403289983184605
5459,0.4358287506068389,0.2938185235470533,0.5815410413475883
5460,-1.044103106660237,-1.580004819320731,-0.7004612284707635
5462,0.14559452802883463,0.06864404679732662,0.23563977924779247
5465,0.2266746552260059,0.13375181475805034,0.33003677352015676
5469,-1.4489834391653913,-2.1133778045327647,-0.9205330960404273
5470,-1.3747561739060092,-2.0110994502564457,-0.8796743570425238
5487,0.23740219797724962,0.1525480860724186,0.34078005509966797
5488,0.38619332104577286,0.2464413915298105,0.5139586629610443
5489,0.2671657279307567,0.1645086078098113,0.37504546674968503
5495,0.23602441611306488,0.13570192688461744,0.3361094959127334
5514,0.10568510189136945,0.03955455756162411,0.194039445015682
5522,-0.49366712637600224,-0.6731871689523093,-0.32374710185791017
5525,0.10610803241618372,0.03776627915206057,0.19144870990276588
5528,-0.5890008066622793,-0.8729530839281683,-0.35321261264405374
5530,-0.032245244332665374,-0.12122946295338831,0.057179106357794086
5540,-0.8926610506270918,-1.2142705829423812,-0.5943433903957711
5545,0.22463433368199925,0.13356602809922336,0.3340781889306441
5549,-0.8082598288569944,-1.2474012666480123,-0.43976100443314514
5550,-1.995189682501835,-2.7867562134773034,-1.1332527017961576
5551,-2.034848409231292,-2.9965224108813806,-1.1146652018222436
5553,-1.3923746272078725,-1.936315226110525,-0.9300675228468475
5554,-2.251324221998451,-3.186851649874341,-1.3828324539990966
5555,-1.3448282430607696,-1.898753276963664,-0.8217799884581619
5556,0.2646538555938342,0.16510032988744486,0.37930394005519635
5569,0.07730202004767162,-0.004306715261415458,0.15843280804666798
5575,0.32758382049095025,0.21569857417541086,0.45283343276771987
5585,0.13189739142834653,0.04296816816653942,0.2322836759677297
5588,-0.45932027835469286,-0.6325612660043173,-0.29800880168368976
5593,0.0961441751205777,0.01704925688820401,0.19589088911993505
5603,0.11871789667114394,0.03675198904634932,0.2221969774595124
5607,0.0684079092335639,0.0046395261854551345,0.16024856241207616
5615,0.062382959064844236,-0.009001839238720982,0.14898304812929813
5617,-0.23585916145692631,-0.3686523638695634,-0.12929850189529057
5634,-0.7947544304144131,-1.0841287473811894,-0.529536385379267
6063,-1.0428366147430648,-1.4172696677157304,-0.6692249498351333
6064,-1.0165731962136801,-1.4206664285901043,-0.6749421434430812
6103,-2.132190549477598,-3.129084761430007,-1.170820458643136
6107,-2.3321553082992663,-3.2561601312608555,-1.475428564207936
6108,-1.2097105227801042,-1.7332542907868593,-0.7459595694929779
6109,-2.323467461911491,-3.271406101851659,-1.5121820546925313
6111,-0.6182028511066104,-0.8553685637268704,-0.39910889541717454
6112,-2.575880230786484,-3.5523852776962057,-1.757617097843434
6121,0.11475968042675967,0.047757505048941655,0.18286579112144902
6124,0.2536651865735669,0.1632286608915737,0.34847570884394036
6133,0.3117956160397202,0.19562258477542338,0.42272068520899025
6140,-0.3080593454754082,-0.5124728120855588,-0.15500611734960335
6152,-0.12415598398942937,-0.2033439666151641,-0.04632798188669298
6153,0.05632084872086811,-0.02487836287727667,0.15495101048361362
6155,0.26821661032041044,0.1741673915391912,0.37689166588876544
6156,0.13944244777420028,0.06046579904995936,0.2380448890583845
